,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence
0,4944431,1512.0,189.0,,1512.0,33.78303516,-84.3857386,Atlanta,GA,US,1,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4944431?uni_id=6123386,True
0,v1227733,3840.0,480.0,,3840.0,33.7879002,-84.3609255,Atlanta,GA,US,10,4.8,3.0,3,https://www.vrbo.com/1227733?unitId=1778626,True
0,4299157,760.32,95.04,,760.32,33.79908468,-84.39470543,Atlanta,GA,US,9,4.888889,1.0,0,https://www.homeaway.com/vacation-rental/p4299157?uni_id=4708816,True
0,v993551,1099.8,137.48,,1099.8,33.730097,-84.3854,Atlanta,GA,US,2,4.5,1.0,3,https://www.vrbo.com/993551?unitId=1541507,True
0,v1176366,1400.0,175.0,,1400.0,33.73445431,-84.34446494,Atlanta,GA,US,1,5.0,2.0,3,https://www.vrbo.com/1176366?unitId=1727101,True
0,v1068268,1160.0,145.0,,1160.0,33.7625418,-84.3878737,Atlanta,GA,US,20,4.95,1.0,1,https://www.vrbo.com/1068268?unitId=1616425,True
0,4269205,944.0,118.0,,944.0,33.731734,-84.376127,Atlanta,GA,US,17,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4269205?uni_id=4677231,True
0,4869615,1240.0,155.0,,1240.0,33.7318,-84.39465,Atlanta,GA,US,8,3.875,2.0,2,https://www.homeaway.com/vacation-rental/p4869615?uni_id=5894228,True
0,v314361,2600.0,325.0,,2600.0,33.7628972,-84.39453611,Atlanta,GA,US,18,4.888889,3.0,2,https://www.vrbo.com/314361?unitId=314361,True
0,4938436,1320.0,165.0,,1320.0,33.79007,-84.39962,Atlanta,GA,US,2,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4938436?uni_id=6115216,True
0,4567168,1600.0,200.0,,1600.0,33.76373731,-84.38800991,Atlanta ,GA,US,2,3.0,1.0,1,https://www.homeaway.com/vacation-rental/p4567168?uni_id=5176652,True
0,4476171,1112.0,139.0,,1112.0,33.80281444,-84.37310627,Atlanta,GA,US,5,4.8,1.0,1,https://www.homeaway.com/vacation-rental/p4476171?uni_id=5064362,True
