,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence,CrimeScore
0,v786559,1200,150,,1200,33.7961633,-84.3448885,Atlanta,GA,US,25,4.9166665,2,3,https://www.vrbo.com/786559?unitId=1334497,TRUE,3.296275197
0,7136000,2231,278.88,,2231,33.75542,-84.38184,Atlanta,GA,US,0,0,1,0,https://www.homeaway.com/vacation-rental/p7136000?uni_id=6284374,TRUE,22.71718333
0,4467360,1190,148.75,,1190,33.7804059,-84.4106083,Atlanta,GA,US,2,3.5,2,2,https://www.homeaway.com/vacation-rental/p4467360?uni_id=5055114,TRUE,32.86153165
0,7429938,1978,247.25,,1978,33.76094,-84.37319,Atlanta,GA,US,0,0,1,0,https://www.homeaway.com/vacation-rental/p7429938?uni_id=6813341,TRUE,6.285780155
0,4360924,1542.96,192.87,,1542.96,33.7624378,-84.3585321,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p4360924?uni_id=4775074,TRUE,21.30021792
0,4496092,1628.56,203.57,,1628.56,33.7619081,-84.358615,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p4496092?uni_id=5088425,TRUE,21.8818442
0,7631432,4495.26,561.91,,4495.26,33.859955,-84.363625,Atlanta,GA,US,0,0,7,8,https://www.homeaway.com/vacation-rental/p7631432?uni_id=7079596,TRUE,3.297299439
0,v768623,1160,145,,1160,33.76650411,-84.37115729,Atlanta,GA,US,3,5,1,2,https://www.vrbo.com/768623?unitId=1316561,TRUE,12.69644714
0,4506865,972,121.5,,972,33.7373813,-84.39592127,Atlanta,GA,US,11,4.909091,1,2,https://www.homeaway.com/vacation-rental/p4506865?uni_id=5110097,TRUE,37.18526097
0,v1461222,1496,187,,1496,33.770757,-84.366168,Atlanta,GA,US,0,0,1,1,https://www.vrbo.com/1461222?unitId=2019808,TRUE,16.08943441
0,v1461215,1496,187,,1496,33.76893,-84.366516,Atlanta,GA,US,0,0,1,1,https://www.vrbo.com/1461215?unitId=2019801,TRUE,9.551048015
0,4703974,1072,134,,1072,33.84510269,-84.36982287,Atlanta,GA,US,2,5,1,1,https://www.homeaway.com/vacation-rental/p4703974?uni_id=5668460,TRUE,25.41718342
0,7482957,1655.28,206.91,,1655.28,33.77143299,-84.37977516,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7482957?uni_id=6887521,TRUE,34.09869088
