,listing_id,price_amt,price_avg_nightly,price_fees,price_rent,latitude,longitude,city,state,country,review_count,review_average,bathrooms,bedrooms,listing_url,book_with_confidence,crime_score
220,7590153,10792.8,1349.1,,10792.8,33.74276619,-84.47537924,Atlanta,GA,US,2,5.0,5.0,6,https://www.homeaway.com/vacation-rental/p7590153?uni_id=7031863,True,8
221,v1471889,1386.0,173.25,,1386.0,33.75957321,-84.43511271,Atlanta,GA,US,1,5.0,3.0,3,https://www.vrbo.com/1471889?unitId=2030506,True,38
222,7671352,837.0,104.63,,837.0,33.766533,-84.333275,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7671352?uni_id=7133989,True,38
223,v1419601,1032.3,129.04,,1032.3,33.76175942,-84.383756,Atlanta,GA,US,1,5.0,1.0,1,https://www.vrbo.com/1419601?unitId=1978083,True,512
224,v1461207,1222.0,152.75,,1222.0,33.818559,-84.366248,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1461207?unitId=2019793,True,162
225,7563691,1656.0,207.0,,1656.0,33.66793656,-84.38557215,Atlanta,GA,US,1,4.0,2.0,3,https://www.homeaway.com/vacation-rental/p7563691?uni_id=6988941,True,38
226,4467376,1150.0,143.75,,1150.0,33.762536700000005,-84.35972790000001,Atlanta,GA,US,5,3.8,2.0,2,https://www.homeaway.com/vacation-rental/p4467376?uni_id=5055130,True,74
227,4538652,1217.28,152.16,,1217.28,33.8449,-84.36922,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p4538652?uni_id=5932930,True,15
228,4304915,2400.0,300.0,,2400.0,33.75723573,-84.41532721,Atlanta,GA,US,6,4.5,3.0,3,https://www.homeaway.com/vacation-rental/p4304915?uni_id=4714847,True,136
229,10185794,2908.23,363.53,,2908.23,33.798894,-84.3461121,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.co.uk/p10185794?uni_id=5210290,False,66
230,v1426513,1000.0,125.0,,1000.0,33.76256,-84.387878,Atlanta,GA,US,1,5.0,1.0,1,https://www.vrbo.com/1426513?unitId=1985024,True,512
231,7635697,1480.0,185.0,,1480.0,33.66070195,-84.51847564,Atlanta,GA,US,0,0.0,2.0,4,https://www.homeaway.com/vacation-rental/p7635697?uni_id=7086379,True,19
232,7486098,918.0,114.75,,918.0,33.73973908,-84.48636532,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7486098?uni_id=6890878,True,513
233,v1432532,1434.6,179.33,,1434.6,33.8090919,-84.4082179,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1432532?unitId=1991056,True,6
234,7081231,3600.0,450.0,,3600.0,33.8238199,-84.36800643,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7081231?uni_id=6247833,True,162
235,7662131,1127.1,140.89,,1127.1,33.749438399999995,-84.36478149999999,Atlanta,GA,US,2,5.0,1.0,2,https://www.homeaway.com/vacation-rental/p7662131?uni_id=7122685,True,8
236,v1561826,488.0,61.0,,488.0,33.7380758,-84.35424638,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1561826?unitId=2122895,True,18
237,v1554446,1512.0,189.0,,1512.0,33.73037093,-84.45797591,Atlanta,GA,US,0,0.0,3.0,5,https://www.vrbo.com/1554446?unitId=2114210,True,2
238,v1534347,20000.0,2500.0,,20000.0,33.78133367,-84.41096404,Atlanta,GA,US,0,0.0,2.0,2,https://www.vrbo.com/1534347?unitId=2093152,True,96
